district,latitude,longitude
Ajmer,26.4499,74.6399
Alwar,27.5525,76.625
Banswara,23.546,74.435
Baran,25.098,76.5425
Barmer,25.75,71.4
Bharatpur,27.2173,77.4909
Bhilwara,25.3463,74.6408
Bikaner,28.0229,73.3119
Bundi,25.4416,75.6371
Chittorgarh,24.879999,74.629997
Churu,28.293,74.9618
Dausa,26.8949,76.3398
Dholpur,26.7026,77.8797
Dungarpur,23.84,73.71
Hanumangarh,29.64,74.3
Jaipur,26.9124,75.7873
Jaisalmer,26.9157,70.9083
Jalore,25.35,72.6167
Jhalawar,24.5963,76.1602
Jhunjhunu,28.1289,75.3996
Jodhpur,26.2389,73.0243
Karauli,26.4875,77.0266
Kota,25.2138,75.8648
Nagaur,27.2,73.7333
Pali,25.7725,73.3236
Pratapgarh,24.032,74.7758
Rajsamand,25.0667,73.8833
Sawai Madhopur,26.0238,76.3444
Sikar,27.612,75.1397
Sirohi,24.8823,72.8585
Sri Ganganagar,29.9038,73.8772
Tonk,26.162,75.7899
Udaipur,24.5854,73.7125
